True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,2062,8.090909091,0.93220339,1.976190476,0.666666667,7.47826087,4.714285714,6.902439024,4,0.797546012,23.31899856
,2063,7.818181818,0.677966102,2.023809524,0.833333333,6.043478261,5.142857143,7.853658537,2.5,0.36809816,10.21260444
,2064,7.666666667,0.93220339,2.285714286,0.833333333,6.173913043,5.081632653,7.365853659,4.5,0.613496933,9.872178614
,2065,7.848484848,1.016949153,2,0.5,8.869565217,4.591836735,6.536585366,4.5,0.858895706,24.68070186
,2066,8.03030303,0.677966102,1.928571429,0.666666667,5.695652174,5.306122449,7.585365854,3.5,0.36809816,16.17005631
,2067,7.696969697,0.93220339,1.904761905,0.5,8.47826087,4.326530612,7.536585366,3.5,0.858895706,18.55303707
,2068,8.090909091,0.508474576,2.095238095,0.833333333,5.695652174,4.979591837,7.731707317,3.5,0.552147239,21.27644364
,2069,7.96969697,0.677966102,1.904761905,0.666666667,5.391304348,5.693877551,7.487804878,3,0.36809816,32.17006994
,2070,7.909090909,0.93220339,1.928571429,0.333333333,8.695652174,4.673469388,6.658536585,5,0.552147239,24.68070186
,2071,7.787878788,0.593220339,2,0.833333333,5.869565217,5.244897959,7.829268293,3.5,0.552147239,9.02111406
,2072,8.333333333,0.593220339,1.547619048,0.666666667,5.869565217,4.897959184,8.097560976,4.5,0.490797546,10.21260444
,2073,8.03030303,0.593220339,1.857142857,0.5,5.608695652,5.367346939,7.658536585,3.5,0.674846626,16.34026923
,2074,7.787878788,0.677966102,1.952380952,0.833333333,5.826086957,5.265306122,7.829268293,3.5,0.613496933,20.595592
,2075,8.303030303,0.762711864,1.571428571,0.5,7.956521739,4.612244898,7.195121951,4,0.36809816,5.106217112
,2076,7.696969697,0.762711864,1.952380952,0.666666667,6.217391304,5.775510204,7.195121951,2.5,0.490797546,4.9360042
,2077,7.757575758,0.847457627,2.142857143,0.666666667,8.47826087,4.653061224,6.707317073,4.5,0.797546012,2.042384716
,2078,7.939393939,0.93220339,1.928571429,0.666666667,8.652173913,4.571428571,6.609756098,5,0.674846626,6.97855913
,2079,6.272727273,1.440677966,3.785714286,0.166666667,7.47826087,6.428571429,4.804878049,3.5,1.104294479,51.40412886
,2080,6.181818182,1.525423729,3.642857143,0,7.47826087,6.326530612,5.243902439,4,1.042944785,38.46794764
,2081,6.696969697,1.271186441,3.333333333,0,8.043478261,5.632653061,5.463414634,4,1.104294479,35.40411524
,2082,6.484848485,1.440677966,3.547619048,0,7.826086957,5.93877551,5.243902439,3.5,0.920245399,32.34028284
,2083,6.272727273,1.440677966,3.928571429,0,8.130434783,5.714285714,5.170731707,3,0.797546012,17.19133378
,2084,7.151515152,1.186440678,2.428571429,0,7.260869565,6.204081633,6.12195122,3.5,0.36809816,36.93603144
,2085,6.363636364,1.271186441,3.238095238,0.166666667,7.52173913,6.367346939,5.609756098,3.5,0.981595092,38.97858636
,2086,6.939393939,1.101694915,2.642857143,0,7.391304348,6.12244898,6.073170732,4,0.981595092,28.93602462
