True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,2079,1.877 ,0.019 ,0.169 ,0.001 ,0.262 ,0.855 ,0.817 ,0.007 ,0.025 ,302
,2080,1.874 ,0.020 ,0.163 ,0.000 ,0.262 ,0.850 ,0.835 ,0.008 ,0.024 ,226
,2081,1.891 ,0.017 ,0.150 ,0.000 ,0.275 ,0.816 ,0.844 ,0.008 ,0.025 ,208
,2082,1.884 ,0.019 ,0.159 ,0.000 ,0.270 ,0.831 ,0.835 ,0.007 ,0.022 ,190
,2083,1.877 ,0.019 ,0.175 ,0.000 ,0.277 ,0.820 ,0.832 ,0.006 ,0.020 ,101
,2084,1.906 ,0.016 ,0.112 ,0.000 ,0.257 ,0.844 ,0.871 ,0.007 ,0.013 ,217
,2085,1.880 ,0.017 ,0.146 ,0.001 ,0.263 ,0.852 ,0.850 ,0.007 ,0.023 ,229
,2086,1.899 ,0.015 ,0.121 ,0.000 ,0.260 ,0.840 ,0.869 ,0.008 ,0.023 ,170
,2087,1.801 ,0.069 ,0.253 ,0.001 ,0.222 ,0.909 ,0.721 ,0.004 ,0.044 ,78
,2088,1.786 ,0.070 ,0.277 ,0.001 ,0.230 ,0.915 ,0.696 ,0.005 ,0.048 ,94
,2089,1.761 ,0.072 ,0.315 ,0.004 ,0.232 ,0.895 ,0.700 ,0.004 ,0.044 ,115
,2090,1.791 ,0.062 ,0.277 ,0.002 ,0.235 ,0.905 ,0.707 ,0.004 ,0.046 ,130
,2091,1.750 ,0.063 ,0.326 ,0.001 ,0.218 ,0.902 ,0.738 ,0.003 ,0.047 ,168
,2092,1.758 ,0.077 ,0.308 ,0.000 ,0.228 ,0.912 ,0.697 ,0.004 ,0.050 ,65
,2093,1.763 ,0.078 ,0.298 ,0.001 ,0.224 ,0.920 ,0.703 ,0.003 ,0.040 ,0.001
,2094,1.740 ,0.085 ,0.325 ,0.002 ,0.206 ,0.940 ,0.695 ,0.002 ,0.035 ,0.001
,2095,1.779 ,0.070 ,0.294 ,0.002 ,0.213 ,0.906 ,0.712 ,0.003 ,0.044 ,28
,2096,1.803 ,0.069 ,0.250 ,0.001 ,0.196 ,0.923 ,0.736 ,0.004 ,0.044 ,26
,2097,1.805 ,0.065 ,0.245 ,0.008 ,0.185 ,0.913 ,0.763 ,0.003 ,0.034 ,18
,2098,1.805 ,0.066 ,0.248 ,0.003 ,0.215 ,0.883 ,0.757 ,0.003 ,0.043 ,107
,2099,1.803 ,0.071 ,0.242 ,0.001 ,0.208 ,0.909 ,0.747 ,0.003 ,0.040 ,44
,2100,1.804 ,0.069 ,0.249 ,0.001 ,0.209 ,0.903 ,0.744 ,0.003 ,0.041 ,92
,2101,1.753 ,0.093 ,0.292 ,0.001 ,0.202 ,0.937 ,0.708 ,0.004 ,0.035 ,63
,2102,1.761 ,0.090 ,0.274 ,0.000 ,0.196 ,0.943 ,0.732 ,0.003 ,0.031 ,52
,2103,1.801 ,0.069 ,0.253 ,0.001 ,0.222 ,0.909 ,0.721 ,0.004 ,0.044 ,369
,2104,1.786 ,0.070 ,0.277 ,0.001 ,0.230 ,0.915 ,0.696 ,0.005 ,0.048 ,386
,2105,1.761 ,0.072 ,0.315 ,0.004 ,0.232 ,0.895 ,0.700 ,0.004 ,0.044 ,416
,2106,1.791 ,0.062 ,0.277 ,0.002 ,0.235 ,0.905 ,0.707 ,0.004 ,0.046 ,385
,2107,1.750 ,0.063 ,0.326 ,0.001 ,0.218 ,0.902 ,0.738 ,0.003 ,0.047 ,357
,2108,1.758 ,0.077 ,0.308 ,0.000 ,0.228 ,0.912 ,0.697 ,0.004 ,0.050 ,252
,2109,1.763 ,0.078 ,0.298 ,0.001 ,0.224 ,0.920 ,0.703 ,0.003 ,0.040 ,296
,2110,1.740 ,0.085 ,0.325 ,0.002 ,0.206 ,0.940 ,0.695 ,0.002 ,0.035 ,269
,2111,1.779 ,0.070 ,0.294 ,0.002 ,0.213 ,0.906 ,0.712 ,0.003 ,0.044 ,361
,2112,1.803 ,0.069 ,0.250 ,0.001 ,0.196 ,0.923 ,0.736 ,0.004 ,0.044 ,359
,2113,1.805 ,0.065 ,0.245 ,0.008 ,0.185 ,0.913 ,0.763 ,0.003 ,0.034 ,340
,2114,1.805 ,0.066 ,0.248 ,0.003 ,0.215 ,0.883 ,0.757 ,0.003 ,0.043 ,235
,2115,1.803 ,0.071 ,0.242 ,0.001 ,0.208 ,0.909 ,0.747 ,0.003 ,0.040 ,202
,2116,1.804 ,0.069 ,0.249 ,0.001 ,0.209 ,0.903 ,0.744 ,0.003 ,0.041 ,258
,2117,1.753 ,0.093 ,0.292 ,0.001 ,0.202 ,0.937 ,0.708 ,0.004 ,0.035 ,245
,2118,1.761 ,0.090 ,0.274 ,0.000 ,0.196 ,0.943 ,0.732 ,0.003 ,0.031 ,243
,2119,1.903 ,0.008 ,0.135 ,0.005 ,0.222 ,0.814 ,0.919 ,0.005 ,0.014 ,169
,2120,1.934 ,0.007 ,0.094 ,0.001 ,0.265 ,0.755 ,0.940 ,0.008 ,0.015 ,167
,2121,1.922 ,0.011 ,0.097 ,0.001 ,0.258 ,0.843 ,0.867 ,0.011 ,0.017 ,721
,2122,1.918 ,0.012 ,0.116 ,0.000 ,0.275 ,0.828 ,0.843 ,0.011 ,0.019 ,423
,2123,1.953 ,0.010 ,0.105 ,0.001 ,0.268 ,0.795 ,0.836 ,0.008 ,0.017 ,216
,2124,1.921 ,0.009 ,0.104 ,0.001 ,0.250 ,0.833 ,0.881 ,0.010 ,0.020 ,193
,2125,1.924 ,0.012 ,0.107 ,0.001 ,0.260 ,0.845 ,0.837 ,0.013 ,0.019 ,250
,2126,1.902 ,0.011 ,0.126 ,0.001 ,0.273 ,0.806 ,0.888 ,0.008 ,0.015 ,342
,2127,1.958 ,0.009 ,0.078 ,0.001 ,0.264 ,0.825 ,0.840 ,0.013 ,0.014 ,464
,2128,1.936 ,0.012 ,0.086 ,0.010 ,0.251 ,0.821 ,0.870 ,0.005 ,0.025 ,89 
,2129,1.931 ,0.013 ,0.090 ,0.014 ,0.263 ,0.819 ,0.856 ,0.005 ,0.028 ,70 
,2130,1.928 ,0.012 ,0.092 ,0.010 ,0.255 ,0.816 ,0.877 ,0.006 ,0.025 ,93 
,2131,1.935 ,0.010 ,0.083 ,0.008 ,0.215 ,0.841 ,0.901 ,0.004 ,0.023 ,44 
,2132,1.949 ,0.005 ,0.068 ,0.019 ,0.157 ,0.867 ,0.920 ,0.003 ,0.024 ,214 
,2133,1.928 ,0.011 ,0.117 ,0.003 ,0.257 ,0.814 ,0.848 ,0.006 ,0.031 ,288 
,2134,1.949 ,0.007 ,0.075 ,0.008 ,0.182 ,0.862 ,0.902 ,0.004 ,0.025 ,78 
,2135,1.935 ,0.008 ,0.094 ,0.009 ,0.199 ,0.848 ,0.891 ,0.005 ,0.027 ,84 
,2136,1.944 ,0.013 ,0.098 ,0.010 ,0.262 ,0.829 ,0.815 ,0.006 ,0.022 ,85 
,2137,1.933 ,0.014 ,0.113 ,0.001 ,0.218 ,0.878 ,0.827 ,0.003 ,0.019 ,57 
,2138,1.935 ,0.016 ,0.119 ,0.003 ,0.261 ,0.836 ,0.799 ,0.006 ,0.025 ,116 
,2139,1.939 ,0.019 ,0.108 ,0.000 ,0.266 ,0.833 ,0.804 ,0.006 ,0.022 ,259 
,2140,1.938 ,0.021 ,0.087 ,0.002 ,0.249 ,0.816 ,0.863 ,0.006 ,0.028 ,258 
,2141,1.942 ,0.016 ,0.114 ,0.004 ,0.235 ,0.884 ,0.774 ,0.004 ,0.019 ,183 
,2142,1.933 ,0.016 ,0.122 ,0.000 ,0.256 ,0.839 ,0.807 ,0.006 ,0.019 ,190 
,2143,1.938 ,0.011 ,0.115 ,0.005 ,0.249 ,0.831 ,0.827 ,0.005 ,0.020 ,141 
,2144,1.950 ,0.011 ,0.080 ,0.002 ,0.275 ,0.793 ,0.869 ,0.007 ,0.020 ,88 
,2145,1.942 ,0.009 ,0.098 ,0.004 ,0.224 ,0.848 ,0.856 ,0.004 ,0.024 ,228 
,2146,1.904 ,0.023 ,0.147 ,0.006 ,0.249 ,0.864 ,0.790 ,0.004 ,0.019 ,134 
,2147,1.972 ,0.012 ,0.077 ,0.002 ,0.244 ,0.833 ,0.826 ,0.005 ,0.012 ,251 
,2148,1.918 ,0.015 ,0.126 ,0.002 ,0.228 ,0.915 ,0.784 ,0.003 ,0.018 ,248 
,2149,1.947 ,0.011 ,0.106 ,0.000 ,0.268 ,0.824 ,0.819 ,0.006 ,0.019 ,174 
,2150,1.933 ,0.017 ,0.121 ,0.009 ,0.230 ,0.799 ,0.857 ,0.005 ,0.029 ,159 
,2151,1.950 ,0.010 ,0.109 ,0.021 ,0.183 ,0.798 ,0.890 ,0.005 ,0.018 ,203 
,2152,1.983 ,0.010 ,0.080 ,0.014 ,0.196 ,0.779 ,0.880 ,0.003 ,0.025 ,166 
,2153,1.964 ,0.014 ,0.084 ,0.001 ,0.260 ,0.802 ,0.831 ,0.007 ,0.029 ,305 
,2154,1.990 ,0.004 ,0.074 ,0.012 ,0.149 ,0.865 ,0.848 ,0.005 ,0.028 ,180 
,2155,1.942 ,0.015 ,0.121 ,0.014 ,0.219 ,0.806 ,0.842 ,0.004 ,0.025 ,202 
,2156,1.933 ,0.015 ,0.115 ,0.010 ,0.223 ,0.818 ,0.858 ,0.006 ,0.024 ,162 
,2157,1.926 ,0.013 ,0.139 ,0.012 ,0.230 ,0.816 ,0.825 ,0.006 ,0.032 ,175 
,2158,1.930 ,0.015 ,0.133 ,0.014 ,0.203 ,0.803 ,0.867 ,0.003 ,0.026 ,199 
,2159,1.977 ,0.008 ,0.068 ,0.014 ,0.184 ,0.811 ,0.894 ,0.006 ,0.023 ,226 
,2160,1.954 ,0.013 ,0.107 ,0.009 ,0.227 ,0.808 ,0.839 ,0.005 ,0.026 ,214 
,2161,1.943 ,0.014 ,0.107 ,0.009 ,0.230 ,0.828 ,0.833 ,0.006 ,0.031 ,229 
,2162,1.952 ,0.013 ,0.111 ,0.008 ,0.227 ,0.797 ,0.845 ,0.005 ,0.029 ,243 
,2163,1.953 ,0.011 ,0.126 ,0.016 ,0.205 ,0.827 ,0.806 ,0.006 ,0.027 ,211 
,2164,1.938 ,0.015 ,0.119 ,0.015 ,0.229 ,0.814 ,0.830 ,0.006 ,0.030 ,183 
,2165,1.956 ,0.007 ,0.115 ,0.010 ,0.206 ,0.843 ,0.816 ,0.004 ,0.035 ,153 
,2166,1.954 ,0.008 ,0.105 ,0.022 ,0.176 ,0.834 ,0.861 ,0.004 ,0.021 ,182 
,2167,1.940 ,0.015 ,0.113 ,0.010 ,0.221 ,0.823 ,0.845 ,0.004 ,0.025 ,165 
,2168,1.942 ,0.016 ,0.115 ,0.007 ,0.235 ,0.794 ,0.853 ,0.007 ,0.022 ,171 
,2169,1.906 ,0.020 ,0.144 ,0.009 ,0.236 ,0.826 ,0.837 ,0.006 ,0.026 ,165 
,2170,1.934 ,0.013 ,0.102 ,0.005 ,0.250 ,0.867 ,0.804 ,0.007 ,0.033 ,130 
,2171,1.941 ,0.015 ,0.092 ,0.004 ,0.273 ,0.799 ,0.849 ,0.007 ,0.027 ,227 
,2172,1.941 ,0.013 ,0.102 ,0.007 ,0.243 ,0.850 ,0.813 ,0.006 ,0.027 ,90 
,2173,1.931 ,0.013 ,0.107 ,0.006 ,0.253 ,0.846 ,0.821 ,0.007 ,0.027 ,96 
,2174,1.927 ,0.017 ,0.110 ,0.001 ,0.272 ,0.829 ,0.820 ,0.008 ,0.031 ,120 
,2175,1.938 ,0.015 ,0.099 ,0.000 ,0.263 ,0.848 ,0.809 ,0.008 ,0.026 ,196 
,2176,1.940 ,0.007 ,0.101 ,0.007 ,0.241 ,0.830 ,0.848 ,0.007 ,0.027 ,135 
,2177,1.946 ,0.010 ,0.096 ,0.006 ,0.267 ,0.812 ,0.836 ,0.006 ,0.028 ,107 
,2178,1.934 ,0.016 ,0.101 ,0.001 ,0.261 ,0.862 ,0.800 ,0.003 ,0.032 ,106 
,2179,1.951 ,0.014 ,0.082 ,0.001 ,0.269 ,0.827 ,0.830 ,0.008 ,0.027 ,150 
,2180,1.947 ,0.013 ,0.081 ,0.005 ,0.230 ,0.854 ,0.839 ,0.004 ,0.045 ,122 
,2181,1.931 ,0.014 ,0.101 ,0.006 ,0.260 ,0.852 ,0.812 ,0.007 ,0.030 ,187 
,2182,1.930 ,0.013 ,0.102 ,0.009 ,0.237 ,0.838 ,0.850 ,0.006 ,0.035 ,138 
,2183,1.953 ,0.013 ,0.080 ,0.000 ,0.267 ,0.846 ,0.811 ,0.006 ,0.031 ,90 
,2184,1.938 ,0.014 ,0.107 ,0.006 ,0.239 ,0.854 ,0.815 ,0.006 ,0.029 ,138 
,2185,1.936 ,0.015 ,0.104 ,0.001 ,0.266 ,0.840 ,0.811 ,0.009 ,0.027 ,224 
,2186,1.956 ,0.005 ,0.067 ,0.009 ,0.309 ,0.655 ,0.980 ,0.008 ,0.021 ,171 
,2187,1.947 ,0.011 ,0.086 ,0.007 ,0.246 ,0.844 ,0.835 ,0.006 ,0.028 ,128 
,2188,1.931 ,0.015 ,0.101 ,0.005 ,0.231 ,0.861 ,0.834 ,0.006 ,0.030 ,152 
,2189,1.962 ,0.004 ,0.074 ,0.004 ,0.248 ,0.850 ,0.831 ,0.007 ,0.027 ,206 
,2190,1.957 ,0.011 ,0.093 ,0.010 ,0.212 ,0.837 ,0.834 ,0.009 ,0.033 ,150 
,2191,1.945 ,0.012 ,0.088 ,0.005 ,0.257 ,0.834 ,0.839 ,0.005 ,0.024 ,282 
,2192,1.926 ,0.014 ,0.121 ,0.005 ,0.236 ,0.835 ,0.834 ,0.006 ,0.033 ,191 
,2193,1.940 ,0.012 ,0.108 ,0.006 ,0.221 ,0.866 ,0.814 ,0.005 ,0.031 ,263 
,2194,1.943 ,0.010 ,0.102 ,0.009 ,0.225 ,0.858 ,0.821 ,0.007 ,0.032 ,111 
,2195,1.955 ,0.011 ,0.076 ,0.000 ,0.258 ,0.841 ,0.833 ,0.007 ,0.025 ,117 
,2196,1.934 ,0.010 ,0.106 ,0.007 ,0.244 ,0.839 ,0.837 ,0.008 ,0.031 ,166 
,2197,1.936 ,0.012 ,0.101 ,0.007 ,0.265 ,0.772 ,0.886 ,0.005 ,0.028 ,238 
